Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
10.5833,602,1,,
10.6,603,1,,
10.6167,604,1,,
10.6333,605,1,,
10.65,606,1,,
10.6667,607,1,,
10.6833,608,1,,
10.7,609,1,,
10.7167,610,1,,
10.7333,611,1,,
10.75,612,1,,
10.7667,613,1,,
10.7833,614,1,,
10.8,615,1,,
10.8167,616,1,,
10.8333,617,1,,
10.85,618,1,,
10.8667,619,1,,
10.8833,620,1,,
10.9,621,1,,
10.9167,622,1,,
10.9333,623,1,,
10.95,624,1,,
10.9667,625,1,,
10.9833,626,1,,
11,627,1,,
11.0167,628,1,,
11.0333,629,1,,
11.05,630,1,,
11.0667,631,1,,
11.0833,632,1,,
11.1,633,1,,
11.1167,634,1,,
11.1333,635,1,,
11.15,636,1,,
11.1667,637,1,,
11.1833,638,1,,
11.2,639,1,,
11.2167,640,1,,
11.2333,641,1,,
11.25,642,1,,
11.2667,643,1,,
11.2833,644,1,,
11.3,645,1,,
11.3167,646,1,,
11.3333,647,1,,
11.35,648,1,,
11.3667,649,1,,
11.3833,650,1,,
11.4,651,1,,
11.4167,652,1,,
11.4333,653,1,,
11.45,654,1,,
11.4667,655,1,,
11.4833,656,1,,
11.5,657,1,,
11.5167,658,1,,
11.5333,659,1,,
11.55,660,1,,
11.5667,661,1,,
11.5833,662,1,,
11.6,663,1,,
11.6167,664,1,,
11.6333,665,1,,
11.65,666,1,,
11.6667,667,1,,
11.6833,668,1,,
11.7,669,1,,
11.7167,670,1,,
11.7333,671,1,,
11.75,672,1,,
11.7667,673,1,,
11.7833,674,1,,
11.8,675,1,,
11.8167,676,1,,
11.8333,677,1,,
11.85,678,1,,
11.8667,679,1,,
11.8833,680,1,,
11.9,681,1,,
11.9167,682,1,,
11.9333,683,1,,
11.95,684,1,,
11.9667,685,1,,
11.9833,686,1,,
12,687,1,,
12.0167,688,1,,
12.0333,689,1,,
12.05,690,1,,
12.0667,691,1,,
12.0833,692,1,,
12.1,693,1,,
12.1167,694,1,,
12.1333,695,1,,
12.15,696,1,,
12.1667,697,1,,
12.1833,698,1,,
12.2,699,1,,
12.2167,700,1,,
12.2333,701,1,,
12.25,702,1,,
12.2667,703,1,,
12.2833,704,1,,
12.3,705,1,,
12.3167,706,1,,
12.3333,707,1,,
12.35,708,1,,
12.3667,709,1,,
12.3833,710,1,,
12.4,711,1,,
12.4167,712,1,,
12.4333,713,1,,
12.45,714,1,,
12.4667,715,1,,
12.4833,716,1,,
12.5,717,1,,
12.5167,718,1,,
12.5333,719,1,,
12.55,720,1,,
12.5667,721,1,,
12.5833,722,1,,
12.6,723,1,,
12.6167,724,1,,
12.6333,725,1,,
12.65,726,1,,
12.6667,727,1,,
12.6833,728,1,,
12.7,729,1,,
12.7167,730,1,,
12.7333,731,1,,
12.75,732,1,,
12.7667,733,1,,
12.7833,734,1,,
12.8,735,1,,
12.8167,736,1,,
12.8333,737,1,,
12.85,738,1,,
