Time,Step_number,VUT_pos_lat,VUT_pos_lng,VUT_heading,VUT_yaw_rate,VUT_jerk_lat,VUT_jerk_lng,VUT_accl_lat,VUT_accl_lng,VUT_vel_lat,VUT_vel_lng,VUT_vel_abs,VUT_travelled,VUT_ind_st_dir_left,VUT_ind_st_dir_right,VUT_ind_st_hazard,VUT_ind_st_reverse,VUT_ind_st_braking,VUT_throttle_cmd_value,VUT_braking_cmd_value,VUT_steering_angle,VUT_steering_angle_percentage,VUT_AV_drive_status,Number_of_Actors_perceived,Number_of_Actors_true,Number_of_Traffic_Ctrl_true
1.38333,50,1.3539848124268126,103.69602718770504,-56.34258820113433,0.0,-0.004801920768298827,0.007803121248497255,-1.94184,1.29296,-2.60819,1.73664,3.1334603181945675,2.10721,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.4,51,1.3539850755969036,103.69602679503238,-56.34258820113433,0.0,-0.00539892021596555,0.0071985602879496265,-1.94172,1.29287,-2.64056,1.75819,3.1723475833678756,2.15976,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.41667,52,1.3539853423844532,103.69602639696836,-56.34258820113433,0.0,-0.004799040191953034,0.0077984403119353354,-1.94159,1.29279,-2.67292,1.77974,3.211226524865538,2.21296,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.43333,53,1.3539856127894607,103.6960259944115,-56.34258820113433,0.0,-0.005402160864354506,0.008403361344539607,-1.94145,1.2927,-2.70528,1.80128,3.250099924125411,2.2668,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.45,54,1.3539858859075622,103.69602558646325,-56.34258820113433,0.0,-0.005998800239951362,0.008398320335921252,-1.94131,1.2926,-2.73763,1.82283,3.288970541947738,2.32129,0,0,0,0,0,0,0,-0.0,-0.0,0,1,1,1
1.46667,55,1.3539861617387572,103.69602517402217,-56.34258820113433,0.0,-0.00539892021595223,0.008998200359933704,-1.94116,1.29251,-2.76999,1.84437,3.3278439412027723,2.37643,0,0,0,0,0,0,0,-0.0,-0.0,0,1,1,1
1.48333,56,1.35398644118741,103.69602475708828,-56.34258820113433,0.0,-0.00600240096038345,0.009003601440581838,-1.94101,1.29241,-2.80234,1.86591,3.366709016784789,2.43222,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.5,57,1.3539867242535222,103.69602433476301,-56.34258820113433,0.0,-0.006598680263950494,0.008998200359920383,-1.94086,1.2923,-2.83469,1.88745,3.405574092366807,2.48866,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.51667,58,1.3539870100327271,103.6960239079449,-56.34258820113433,0.0,-0.006598680263950494,0.009598080383919516,-1.9407,1.29219,-2.86703,1.90899,3.444430844276018,2.54574,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.53333,59,1.3539872994293907,103.69602347573542,-56.34258820113433,0.0,-0.006602641056425793,0.010204081632653197,-1.94053,1.29208,-2.89938,1.93052,3.4832903776171174,2.60347,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.55,60,1.3539875924435116,103.69602303903312,-56.34258820113433,0.0,-0.006598680263937174,0.010197960407918647,-1.94036,1.29197,-2.93172,1.95206,3.522147129521991,2.66185,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.56667,61,1.353987888170727,103.69602259783798,-56.34258820113433,0.0,-0.0071985602879496265,0.010197960407918647,-1.94019,1.29185,-2.96406,1.97359,3.5609983391880426,2.72088,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.58333,62,1.3539881875154007,103.69602215125147,-56.34258820113433,0.0,-0.007202881152454904,0.011404561824738035,-1.94,1.29173,-2.99639,1.99512,3.5998412251792438,2.78055,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.6,63,1.3539884895731675,103.69602170017212,-56.34258820113433,0.0,-0.007198560287949531,0.010797840431904316,-1.93982,1.29161,-3.02872,2.01665,3.638684111172609,2.84087,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.61667,64,1.3539887952483924,103.69602124459996,-56.34258820113433,0.0,-0.0077984403119354395,0.011997600479916045,-1.93962,1.29148,-3.06105,2.03817,3.677521454920419,2.90184,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.63333,65,1.353989104541076,103.69602078363641,-56.34258820113433,0.0,-0.007803121248497255,0.012004801920767059,-1.93942,1.29135,-3.09338,2.0597,3.716364340911692,2.96346,0,0,0,0,0,0,0,-0.0,-0.0,0,1,1,1
1.65,66,1.3539894165468527,103.69602031818005,-56.34258820113433,0.0,-0.008398320335934571,0.011997600479902724,-1.93922,1.29121,-3.1257,2.08122,3.755193360986888,3.02572,0,0,0,0,0,0,0,-0.0,-0.0,0,1,1,1
1.66667,67,1.3539897312657234,103.69601984733228,-56.34258820113433,0.0,-0.00839832033593446,0.012597480503901689,-1.93901,1.29107,-3.15802,2.10274,3.7940223810620832,3.08863,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.68333,68,1.3539900505064169,103.69601937199171,-56.34258820113433,0.0,-0.00900360144056863,0.013205282112838434,-1.93879,1.29092,-3.19033,2.12425,3.8328375352211315,3.15219,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.7,69,1.3539903715558395,103.6960188921583,-56.34258820113433,0.0,-0.008998200359933704,0.0137972405518868,-1.93856,1.29077,-3.22264,2.14577,3.8716582316237576,3.21639,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.71667,70,1.3539906971270843,103.69601840693352,-56.34258820113433,0.0,-0.008998200359920383,0.0137972405518868,-1.93833,1.29062,-3.25495,2.16728,3.910473385780806,3.28124,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.73333,71,1.3539910254114231,103.69601791721591,-56.34258820113433,0.0,-0.009603841536624183,0.013805522208893929,-1.9381,1.29046,-3.28726,2.18879,3.9492885399398205,3.34674,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.75,72,1.3539913564088557,103.69601742210689,-56.34258820113433,0.0,-0.009598080383919516,0.014997000599871746,-1.93785,1.2903,-3.31955,2.21029,3.988081504508151,3.41288,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.76667,73,1.3539916919281108,103.69601692250508,-56.34258820113433,0.0,-0.010197960407918647,0.014997000599885065,-1.9376,1.29013,-3.35185,2.2318,4.026888334992665,3.47968,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.78333,74,1.353992029256095,103.69601641841044,-56.34258820113433,0.0,-0.010204081632653197,0.015606242496994303,-1.93734,1.28996,-3.38414,2.2533,4.065681299560997,3.54711,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.8,75,1.3539923711059016,103.69601590892441,-56.34258820113433,0.0,-0.010197960407918647,0.015596880623884198,-1.93708,1.28979,-3.41643,2.2748,4.10447426412933,3.6152,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.81667,76,1.3539927156688025,103.69601539494556,-56.34258820113433,0.0,-0.011397720455903593,0.016196760647870012,-1.93681,1.2896,-3.44871,2.29629,4.143253362781476,3.68393,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.83333,77,1.3539930629447967,103.69601487557532,-56.34258820113433,0.0,-0.010804321728695684,0.016806722689065887,-1.93653,1.28942,-3.48099,2.31778,4.182032461435468,3.75331,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.85,78,1.3539934138382486,103.69601435261082,-56.34258820113433,0.0,-0.01139772045590344,0.017396520695868042,-1.93624,1.28923,-3.51326,2.33927,4.220803236411288,3.82333,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
