Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
11.2667,645,1,,
11.2833,646,1,,
11.3,647,1,,
11.3167,648,1,,
11.3333,649,1,,
11.35,650,1,,
11.3667,651,1,,
11.3833,652,1,,
11.4,653,1,,
11.4167,654,1,,
11.4333,655,1,,
11.45,656,1,,
11.4667,657,1,,
11.4833,658,1,,
11.5,659,1,,
11.5167,660,1,,
11.5333,661,1,,
11.55,662,1,,
11.5667,663,1,,
11.5833,664,1,,
11.6,665,1,,
11.6167,666,1,,
11.6333,667,1,,
11.65,668,1,,
11.6667,669,1,,
11.6833,670,1,,
11.7,671,1,,
11.7167,672,1,,
11.7333,673,1,,
11.75,674,1,,
11.7667,675,1,,
11.7833,676,1,,
11.8,677,1,,
11.8167,678,1,,
11.8333,679,1,,
11.85,680,1,,
11.8667,681,1,,
11.8833,682,1,,
11.9,683,1,,
11.9167,684,1,,
11.9333,685,1,,
11.95,686,1,,
11.9667,687,1,,
11.9833,688,1,,
12,689,1,,
12.0167,690,1,,
12.0333,691,1,,
12.05,692,1,,
12.0667,693,1,,
12.0833,694,1,,
12.1,695,1,,
12.1167,696,1,,
12.1333,697,1,,
12.15,698,1,,
12.1667,699,1,,
12.1833,700,1,,
12.2,701,1,,
12.2167,702,1,,
12.2333,703,1,,
12.25,704,1,,
12.2667,705,1,,
12.2833,706,1,,
12.3,707,1,,
12.3167,708,1,,
12.3333,709,1,,
12.35,710,1,,
12.3667,711,1,,
12.3833,712,1,,
12.4,713,1,,
12.4167,714,1,,
12.4333,715,1,,
12.45,716,1,,
12.4667,717,1,,
12.4833,718,1,,
12.5,719,1,,
12.5167,720,1,,
12.5333,721,1,,
12.55,722,1,,
12.5667,723,1,,
12.5833,724,1,,
12.6,725,1,,
12.6167,726,1,,
12.6333,727,1,,
12.65,728,1,,
12.6667,729,1,,
12.6833,730,1,,
12.7,731,1,,
12.7167,732,1,,
12.7333,733,1,,
12.75,734,1,,
12.7667,735,1,,
12.7833,736,1,,
12.8,737,1,,
12.8167,738,1,,
12.8333,739,1,,
12.85,740,1,,
12.8667,741,1,,
12.8833,742,1,,
12.9,743,1,,
12.9167,744,1,,
12.9333,745,1,,
12.95,746,1,,
12.9667,747,1,,
12.9833,748,1,,
13,749,1,,
13.0167,750,1,,
13.0333,751,1,,
13.05,752,1,,
13.0667,753,1,,
13.0833,754,1,,
13.1,755,1,,
13.1167,756,1,,
13.1333,757,1,,
13.15,758,1,,
13.1667,759,1,,
13.1833,760,1,,
13.2,761,1,,
13.2167,762,1,,
13.2333,763,1,,
13.25,764,1,,
13.2667,765,1,,
13.2833,766,1,,
13.3,767,1,,
13.3167,768,1,,
13.3333,769,1,,
13.35,770,1,,
13.3667,771,1,,
13.3833,772,1,,
13.4,773,1,,
13.4167,774,1,,
13.4333,775,1,,
13.45,776,1,,
13.4667,777,1,,
13.4833,778,1,,
13.5,779,1,,
13.5167,780,1,,
13.5333,781,1,,
13.55,782,1,,
13.5667,783,1,,
13.5833,784,1,,
13.6,785,1,,
13.6167,786,1,,
13.6333,787,1,,
13.65,788,1,,
13.6667,789,1,,
13.6833,790,1,,
13.7,791,1,,
13.7167,792,1,,
13.7333,793,1,,
13.75,794,1,,
13.7667,795,1,,
13.7833,796,1,,
13.8,797,1,,
13.8167,798,1,,
13.8333,799,1,,
13.85,800,1,,
13.8667,801,1,,
13.8833,802,1,,
13.9,803,1,,
13.9167,804,1,,
13.9333,805,1,,
13.95,806,1,,
13.9667,807,1,,
13.9833,808,1,,
14,809,1,,
14.0167,810,1,,
14.0333,811,1,,
14.05,812,1,,
14.0667,813,1,,
14.0833,814,1,,
14.1,815,1,,
14.1167,816,1,,
14.1333,817,1,,
14.15,818,1,,
14.1667,819,1,,
14.1833,820,1,,
14.2,821,1,,
14.2167,822,1,,
14.2333,823,1,,
14.25,824,1,,
14.2667,825,1,,
14.2833,826,1,,
14.3,827,1,,
14.3167,828,1,,
14.3333,829,1,,
14.35,830,1,,
14.3667,831,1,,
14.3833,832,1,,
14.4,833,1,,
14.4167,834,1,,
14.4333,835,1,,
14.45,836,1,,
14.4667,837,1,,
14.4833,838,1,,
14.5,839,1,,
14.5167,840,1,,
14.5333,841,1,,
14.55,842,1,,
14.5667,843,1,,
14.5833,844,1,,
14.6,845,1,,
14.6167,846,1,,
14.6333,847,1,,
14.65,848,1,,
14.6667,849,1,,
14.6833,850,1,,
14.7,851,1,,
14.7167,852,1,,
14.7333,853,1,,
14.75,854,1,,
14.7667,855,1,,
14.7833,856,1,,
14.8,857,1,,
14.8167,858,1,,
14.8333,859,1,,
14.85,860,1,,
14.8667,861,1,,
14.8833,862,1,,
14.9,863,1,,
